이벤트 이름,이벤트 ID,NPC ID,대화의 단락,몇번째 대사인지,캐릭터 이름,대사 ,선택지 여부 ,선택지 대사 ,선택지 스킵 라인,퀘스트 번호,엔딩번호,이벤트 변경 후 ,비고
대화_01,1,1,1,1,누군가,안녕' 내이름 --야 ,,,,,1,,
,,,,,,너 이름 뭐야 ,0,,,,,,
,,,2,1,주인공,반가워 ,,,,,,,
,,,,,,내이름 ==야,,,,,,,
,,,,,누군가,그렇구나.,,,,,,,
,,,,,,잘부탁해.,,,,,,,
,,,,,주인공,그래 잘부탁해.,0,,,,,,
,,,3,1,누군가,근데 너 ,,,,,,,
,,,,,,내가 이쁘다고 생각함?,1,,,,,,
,,,,,,,,어 못생겼어,2,,,,
,,,,,,,,이뻐,3,,,,
,,,,2,누군가,뭐? 보는 눈 없네.,0,,,,,1,
,,,,3,누군가,그래? 역시 그렇게 생각하는구만,,,,,,,
,,,,,,굿굿,,,,,,,
,,,,,누군가,어쨌든 땡큐,,,,,,,
,,,,,,덕분에 힘이 날지도.,0,,,,,2,
대화_02,2,1,1,1,누군가,엔딩 변경,1,,,,,,
,,,,,,,,엔딩 1번,2,,1,,
,,,,,,,,엔딩 2번,3,,2,,
,,,,2,누군가,엔딩 1번 끝,0,,,1,1,,
,,,,3,누군가,엔딩 2번 끝,0,,,2,2,,
,,,2,1,누군가,아직 퀘스트 안했니?,,,,,,,
,,,,,,빨리 하고와,0,,,,,3,
대화_03,3,1,1,1,누군가 ,첫번째 퀘스트 끝 축하 ,0,,,,,,
