이벤트 이름,이벤트 ID,NPC ID,대화의 단락,몇번째 대사인지,캐릭터 이름,대사 ,선택지 여부 ,선택지 대사 ,선택지 스킵 라인,퀘스트 번호,엔딩번호,이벤트 변경 후 ,비고
대화_01,1,1,1,1,???,아아 - 설윤' 내 말 들리나? ,,,,,1,,
,,,,,임무요원 판,난 이번 임무를 도와줄 상관 판이라고 한다.,,,,,,,
,,,,,,지금부터 네가 할 일을 알려주도록 하겠다.,,,,,,,
,,,,,,앞쪽으로 좀 더 나아가면 악귀에 침식된 기계들이 보일 거다.,,,,,,,
,,,,,,앞에 보이는 기계들을 전부 처리하고 다음 목표 지점까지 가는 것이 이번 임무에 할 일이다.,0,,,,,,
,,,,,,알아 들었나?,1,,,,,,
,,,,,,,,알아들었습니다.,2,,,,
,,,,,,,,다시 말씀해주세요.,3,,,,
,,,,2,임무요원 판,무운을 빈다.,0,,,1,,2,
,,,,3,임무요원 판,다시 한 번 말한다.,,,,,,,
,,,,,,앞쪽으로 좀 더 나아가면 악귀에 침식된 기계들이 보일 거다.,,,,,,,
,,,,,,앞에 보이는 기계들을 전부 처리하고 다음 목표 지점까지 가는 것이 이번 임무에 할 일이다.,1,,,,,,
,,,,,,알아 들었나?,,알아들었습니다.,2,,,,
,,,,,,,,다시 말씀해주세요.,3,,,,
대화_01끝?,2,1,1,1,임무요원 판,수고했다. 임무 완료다.,0,,,,,,
